Track,Composer,Milliseconds,Bytes,UnitPrice,Genre,Album,Artist,Minutes
Blind Curve: Vocal Under A Bloodlight / Passing Strangers / Mylo / Perimeter Walk / Threshold,"Kelly, Mosley, Rothery, Trewaves",569704,18578995.0,0.99,Rock,Misplaced Childhood,Marillion,9.495066666666666
Dirty Little Thing,"Dave Kushner, Duff, Keith Nelson, Matt Sorum, Scott Weiland & Slash",237844,7732982.0,0.99,Rock,Contraband,Velvet Revolver,3.9640666666666666
Só Tinha De Ser Com Você,Vários,389642,13085596.0,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,6.494033333333333
Slug,"Brian Eno, Bono, Adam Clayton, The Edge & Larry Mullen Jnr.",281469,9295950.0,0.99,Soundtrack,Original Soundtracks 1,Passengers,4.69115
Black Mountain Side,Jimmy Page,132702,4440602.0,0.99,Rock,Led Zeppelin I,Led Zeppelin,2.2117
Pensamento,Bino/Da Gama/Ras Bernardo,192391,6399761.0,0.99,Reggae,Cidade Negra - Hits,Cidade Negra,3.2065166666666665
Even Better Than The Real Thing,U2,221361,7279392.0,0.99,Rock,Achtung Baby,U2,3.68935
Powerslave,Dickinson,407823,9791106.0,0.99,Metal,Powerslave,Iron Maiden,6.79705
Loud Love,Chris Cornell,297456,9660953.0,0.99,Rock,A-Sides,Soundgarden,4.9576
2 Minutes To Midnight,Smith/Dickinson,366550,8799380.0,0.99,Metal,Live After Death,Iron Maiden,6.109166666666667
Out Of Exile,"Cornell, Commerford, Morello, Wilk",291291,9506571.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.85485
Spank Thru,Kurt Cobain,190354,6186487.0,0.99,Rock,From The Muddy Banks Of The Wishkah [Live],Nirvana,3.1725666666666665
London Calling,Joe Strummer/Mick Jones,199706,6569007.0,0.99,Alternative & Punk,The Singles,The Clash,3.3284333333333334
Break on Through,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",149342,4943144.0,0.99,Rock,The Doors,The Doors,2.4890333333333334
We Are The Champions,Mercury,182883,5939794.0,0.99,Rock,News Of The World,Queen,3.04805
Hard Lovin' Man,"Blackmore, Gillan, Glover, Lord, Paice",431203,13931179.0,0.99,Rock,Deep Purple In Rock,Deep Purple,7.186716666666666
Jingo,M.Babatunde Olantunji,592953,19736495.0,0.99,Rock,Santana - As Years Go By,Santana,9.88255
200 Years Old,Frank Zappa,272561,8912465.0,0.99,Rock,Bongo Fury,Frank Zappa & Captain Beefheart,4.542683333333334
Santa Clara Clareou,,380081,12524725.0,0.99,Latin,Jorge Ben Jor 25 Anos,Jorge Ben,6.334683333333333
Juventude Transviada (Ao Vivo),,278622,9183808.0,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,4.6437
Rollover D.J.,C. Cester/N. Cester,196702,6406517.0,0.99,Alternative & Punk,Get Born,JET,3.278366666666667
Leave,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,437968,14433365.0,0.99,Rock,New Adventures In Hi-Fi,R.E.M.,7.2994666666666665
God Part II,"Bono/Clayton, Adam/Mullen Jr., Larry/The Edge",195604,6497570.0,0.99,Rock,Rattle And Hum,U2,3.2600666666666664
Cold Gin,Ace Frehley,262243,8609783.0,0.99,Rock,Greatest Kiss,Kiss,4.370716666666667
Sister Morphine,Faithfull/Jagger/Richards,376215,12345289.0,0.99,Rock,No Security,The Rolling Stones,6.27025
Nefertiti,Miles Davis,473495,15478450.0,0.99,Jazz,The Essential Miles Davis [Disc 2],Miles Davis,7.891583333333333
Take the Box,Luke Smith,199160,3281526.0,0.99,Pop,Frank,Amy Winehouse,3.3193333333333332
Good Riddance (Time Of Your Life),Billie Joe Armstrong -Words Green Day -Music,153600,5075241.0,0.99,Alternative & Punk,International Superhits,Green Day,2.56
Can't Keep,Eddie Vedder,219428,7215713.0,0.99,Rock,Riot Act,Pearl Jam,3.6571333333333333
Wall Of Denial,Doyle Bramhall/Stevie Ray Vaughan,336927,11085915.0,0.99,Blues,In Step,Stevie Ray Vaughan & Double Trouble,5.61545
If God Will Send His Angels,"Bono, The Edge, Adam Clayton, and Larry Mullen",322533,10563329.0,0.99,Rock,Pop,U2,5.37555
Viradouro,Dadinho/Gilbreto Gomes/Gustavo/P.C. Portugal/R. Mocoto,344320,11484362.0,0.99,Latin,Sambas De Enredo 2001,Various Artists,5.738666666666667
Surrender,U2,333505,11221406.0,0.99,Rock,War,U2,5.558416666666667
Funky Monks,Anthony Kiedis/Chad Smith/Flea/John Frusciante,323395,10708168.0,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,5.389916666666666
Back in the Village,Dickinson/Smith,320548,7696518.0,0.99,Metal,Powerslave,Iron Maiden,5.342466666666667
Freedom For My People,"Mabins, Macie/Magee, Sterling/Robinson, Bobby",38164,1249764.0,0.99,Rock,Rattle And Hum,U2,0.6360666666666667
Um Jantar Pra Dois,,244009,8021589.0,0.99,Latin,The Best of Ed Motta,Ed Motta,4.066816666666667
Hang 'Em High,Alex Van Halen/David Lee Roth/Edward Van Halen/Michael Anthony,210259,6872314.0,0.99,Rock,Diver Down,Van Halen,3.5043166666666665
Spirit's in the Material World,G M Sumner,181133,5986622.0,0.99,Rock,The Police Greatest Hits,The Police,3.018883333333333
Maquinarama,Chico Amaral/Samuel Rosa,245629,8213710.0,0.99,Rock,Maquinarama,Skank,4.093816666666667
Believe,,310778,10317185.0,0.99,Jazz,Heart of the Night,Spyro Gyra,5.179633333333333
The Wait,Killing Joke,295418,9688418.0,0.99,Metal,Garage Inc. (Disc 2),Metallica,4.923633333333333
Near Wild Heaven,Bill Berry/Michael Stipe/Mike Mills/Peter Buck,199862,6610009.0,0.99,Alternative & Punk,Out Of Time,R.E.M. Feat. Kate Pearson,3.3310333333333335
Desordem,Charles Gavin/Marcelo Fromer/Sérgio Britto,213289,7067340.0,0.99,Alternative & Punk,Volume Dois,Titãs,3.5548166666666665
Canário Do Reino,,139337,4552858.0,0.99,Latin,Serie Sem Limite (Disc 2),Tim Maia,2.3222833333333335
O Pulso,Titãs,199131,6566998.0,0.99,Alternative & Punk,Acústico,Titãs,3.31885
Fear Of The Dark,Steve Harris,431333,6906078.0,0.99,Metal,A Real Live One,Iron Maiden,7.188883333333333
Every Little Thing She Does is Magic,G M Sumner,261120,8646853.0,0.99,Rock,The Police Greatest Hits,The Police,4.352
O Livro Dos Dias,Renato Russo,257253,8570929.0,0.99,Latin,A TempestadeTempestade Ou O Livro Dos Dias,Legião Urbana,4.28755
Arc,Pearl Jam,65593,2099421.0,0.99,Rock,Riot Act,Pearl Jam,1.0932166666666667
All My Life,Foo Fighters,263653,8665545.0,0.99,Alternative & Punk,One By One,Foo Fighters,4.394216666666667
Put You Down,Jerry Cantrell,196231,6420530.0,0.99,Rock,Facelift,Alice In Chains,3.2705166666666665
Já Foi,Mônica Marianno,245681,8094872.0,0.99,World,Demorou...,Mônica Marianno,4.094683333333333
Gatas Extraordinárias,,212506,7095702.0,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,3.5417666666666667
Carta Ao Tom 74,,162560,5382354.0,0.99,Bossa Nova,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,2.7093333333333334
Babyface,U2; Bono,241998,7942573.0,0.99,Rock,Zooropa,U2,4.0333
Light My Way,Audioslave/Chris Cornell,303595,7289084.0,0.99,Rock,Audioslave,Audioslave,5.059916666666667
Solar,"Milton Nascimento, Fernando Brant",156212,5098288.0,0.99,Latin,Milton Nascimento Ao Vivo,Milton Nascimento,2.6035333333333335
Something Nice Back Home,,2612779,484711353.0,1.99,Drama,"LOST, Season 4",Lost,43.54631666666667
Murder On the Rising Star,,2935894,551759986.0,1.99,Sci Fi & Fantasy,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),48.93156666666667
Think,Lowman Pauling,166739,5513208.0,0.99,R&B/Soul,Sex Machine,James Brown,2.778983333333333
Ando Meio Desligado,Caetano Veloso,195813,6547648.0,0.99,Latin,Chill: Brazil (Disc 1),Marcos Valle,3.26355
Trac Trac,Fito Paez/Herbert Vianna,231653,7638256.0,0.99,Latin,Arquivo II,Os Paralamas Do Sucesso,3.8608833333333332
Whiplash,"James Hetfield, Lars Ulrich",249208,8102839.0,0.99,Metal,Kill 'Em All,Metallica,4.153466666666667
Brave New World,Bruce Dickinson/David Murray/Steve Harris,378984,15161472.0,0.99,Rock,Brave New World,Iron Maiden,6.3164
A Statistic,,6373,211997.0,0.99,Alternative & Punk,Body Count,Body Count,0.10621666666666667
Manifest Destiny,Toby Smith,382197,12676962.0,0.99,Electronica/Dance,The Return Of The Space Cowboy,Jamiroquai,6.36995
Falamansa Song,,237165,7921313.0,0.99,Latin,Deixa Entrar,Falamansa,3.95275
Song For Lorraine,Jay Beckenstein,240091,8101723.0,0.99,Jazz,Morning Dance,Spyro Gyra,4.001516666666666
Diamante De Mendigo,,206053,6775101.0,0.99,Rock,Raul Seixas,Raul Seixas,3.4342166666666665
Corcovado (Quiet Nights Of Quiet Stars),,205662,6687994.0,0.99,Jazz,Warner 25 Anos,Antônio Carlos Jobim,3.4277
KKK Bitch,,173008,5709631.0,0.99,Alternative & Punk,Body Count,Body Count,2.8834666666666666
União Da Ilha,"Dito/Djalma Falcao/Ilha, Almir Da/Márcio André",330945,11100945.0,0.99,Latin,Sambas De Enredo 2001,Various Artists,5.51575
Your Mirror,Mick Hucknall,240666,7893821.0,0.99,Rock,Greatest Hits,Lenny Kravitz,4.0111
Maybe I'm A Leo,Ian Gillan/Ian Paice/Jon Lord/Ritchie Blckmore/Roger Glover,290455,9502646.0,0.99,Rock,Machine Head,Deep Purple,4.840916666666667
Not The Doctor,Alanis Morissette & Glenn Ballard,227631,7604601.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,3.79385
Suck My Kiss,Anthony Kiedis/Chad Smith/Flea/John Frusciante,217234,7129137.0,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,3.6205666666666665
The Unforgettable Fire,U2,295183,9684664.0,0.99,Rock,The Best Of 1980-1990,U2,4.919716666666667
You Learn,Alanis Morissette & Glenn Ballard,239699,7824837.0,0.99,Rock,Jagged Little Pill,Alanis Morissette,3.9949833333333333
Losing My Religion,Bill Berry/Michael Stipe/Mike Mills/Peter Buck,269035,8885672.0,0.99,Alternative & Punk,Out Of Time,R.E.M. Feat. Kate Pearson,4.4839166666666666
"Concert pour 4 Parties de V**les, H. 545: I. Prelude",Marc-Antoine Charpentier,110266,1973559.0,0.99,Classical,"Charpentier: Divertissements, Airs & Concerts",Les Arts Florissants & William Christie,1.8377666666666668
Flip The Switch,Jagger/Richards,252421,8336591.0,0.99,Rock,No Security,The Rolling Stones,4.207016666666667
Enquanto O Mundo Explode,Chico Science,88764,2968650.0,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi,1.4794
So Central Rain,R.E.M.,194768,6414550.0,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.,3.2461333333333333
Riviera Paradise,Stevie Ray Vaughan,528692,17232776.0,0.99,Blues,In Step,Stevie Ray Vaughan & Double Trouble,8.811533333333333
Caffeine,,267937,8747367.0,0.99,Alternative & Punk,Angel Dust,Faith No More,4.465616666666667
Palco (Live),,238315,8026622.0,0.99,Latin,Quanta Gente Veio Ver (Live),Gilberto Gil,3.9719166666666665
Walk On,"Adam Clayton, Bono, Larry Mullen, The Edge",296280,9800861.0,0.99,Rock,All That You Can't Leave Behind,U2,4.938
Layla,Clapton/Gordon,430733,14115792.0,0.99,Blues,The Cream Of Clapton,Eric Clapton,7.178883333333333
End Of The Night,"Robby Krieger, Ray Manzarek, John Densmore, Jim Morrison",172695,5589732.0,0.99,Rock,The Doors,The Doors,2.87825
Revolution,,256026,8371254.0,0.99,Rock,"Pure Cult: The Best Of The Cult (For Rockers, Ravers, Lovers & Sinners) [UK]",The Cult,4.2671
Sweet Child O' Mine,,356424,5879347.0,0.99,Rock,Appetite for Destruction,Guns N' Roses,5.9404
Heaven Can Wait,,440555,10577743.0,0.99,Rock,Live At Donington 1992 (Disc 2),Iron Maiden,7.342583333333334
Love Comes,"Darius ""Take One"" Minwalla/Jon Auer/Ken Stringfellow/Matt Harris",199923,3240609.0,0.99,Rock,Every Kind of Light,The Posies,3.33205
The 23rd Psalm,,2610416,487401604.0,1.99,TV Shows,"Lost, Season 2",Lost,43.506933333333336
Dude (Looks Like A Lady),"Steven Tyler, Joe Perry, Desmond Child",264855,8679940.0,0.99,Rock,Big Ones,Aerosmith,4.41425
Minas,"Milton Nascimento, Caetano Veloso",152293,4921056.0,0.99,Latin,Minas,Milton Nascimento,2.5382166666666666
Pride (In The Name Of Love),U2,230243,7549085.0,0.99,Rock,The Best Of 1980-1990,U2,3.8373833333333334
Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451.0,0.99,Rock,For Those About To Rock We Salute You,AC/DC,3.4277
Get On The Snake,Chris Cornell/Kim Thayil,225123,7313744.0,0.99,Rock,A-Sides,Soundgarden,3.75205
A Festa Do Santo Reis,,159791,5204995.0,0.99,Latin,Serie Sem Limite (Disc 2),Tim Maia,2.6631833333333335
Wanted Dread And Alive,,260310,8670933.0,0.99,Reggae,Greatest Hits,Lenny Kravitz,4.3385
Tanto Tempo,Vários,170292,5572240.0,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,2.8382
Infinite Dreams,Steve Harris,369005,8858669.0,0.99,Metal,Seventh Son of a Seventh Son,Iron Maiden,6.150083333333333
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja,"Arlindo Cruz/Franco/Marquinhos PQD/Negro, Jovelina Pérolo/Zeca Pagodinho",107206,3593684.0,0.99,Latin,Ao Vivo [IMPORT],Zeca Pagodinho,1.7867666666666666
Motéis,,213498,7041077.0,0.99,Latin,Roda De Funk,Funk Como Le Gusta,3.5583
Corduroy,Pearl Jam & Eddie Vedder,305293,9991106.0,0.99,Rock,Live On Two Legs [Live],Pearl Jam,5.088216666666667
Why Go,Jeff Ament,200254,6539287.0,0.99,Rock,Ten,Pearl Jam,3.3375666666666666
"Hail, Hail",Stone Gossard & Eddie Vedder & Jeff Ament & Mike McCready,223764,7364206.0,0.99,Rock,Live On Two Legs [Live],Pearl Jam,3.7294
Flight Of The Rat,"Blackmore, Gillan, Glover, Lord, Paice",478302,15563967.0,0.99,Rock,Deep Purple In Rock,Deep Purple,7.9717
Groovus Interruptus,Jim Beard,319373,10602166.0,0.99,Jazz,Outbreak,Dennis Chambers,5.322883333333333
Wrathchild,Steve Harris,185808,7434368.0,0.99,Metal,Rock In Rio [CD1],Iron Maiden,3.0968
Nene 2001,,284969,9694508.0,0.99,Soundtrack,Carnaval 2001,Various Artists,4.749483333333333
Nightrain,,268537,4457283.0,0.99,Rock,Appetite for Destruction,Guns N' Roses,4.475616666666666
Elderly Woman Behind The Counter In A Small Town,Dave Abbruzzese & Jeff Ament & Stone Gossard & Mike McCready & Eddie Vedder,229328,7509304.0,0.99,Rock,Live On Two Legs [Live],Pearl Jam,3.8221333333333334
The Outlaw Torn,"James Hetfield, Lars Ulrich",588721,19286261.0,0.99,Metal,Load,Metallica,9.812016666666667
Battery,J.Hetfield/L.Ulrich,312424,10229577.0,0.99,Metal,Master Of Puppets,Metallica,5.207066666666667
Lords Of The Backstage,"Kelly, Mosley, Rothery, Trewaves",112875,3741319.0,0.99,Rock,Misplaced Childhood,Marillion,1.88125
The River (Remix),The Tea Party,343170,11193268.0,0.99,Alternative & Punk,Tangents,The Tea Party,5.7195
Bowels Of The Devil,,223216,7324125.0,0.99,Alternative & Punk,Body Count,Body Count,3.720266666666667
Don't Go Back To Rockville,R.E.M.,272352,9010715.0,0.99,Alternative & Punk,The Best Of R.E.M.: The IRS Years,R.E.M.,4.5392
Macô,Chico Science,249600,8253934.0,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi,4.16
Love Is The Colour,R. Carless,251585,8419165.0,0.99,Jazz,Blue Moods,Incognito,4.193083333333333
Without You,Van Halen,390295,12619558.0,0.99,Rock,Van Halen III,Van Halen,6.5049166666666665
Phantom Lord,"James Hetfield, Lars Ulrich, Dave Mustaine",302053,9817143.0,0.99,Metal,Kill 'Em All,Metallica,5.034216666666667
Don't Take Your Love From Me,,282331,9244238.0,0.99,Jazz,Up An' Atom,Gene Krupa,4.705516666666667
On The Run,"Gilmour, Waters",214595,7206300.0,0.99,Rock,Dark Side Of The Moon,Pink Floyd,3.5765833333333332
Set It Off,Audioslave/Chris Cornell,263262,6321091.0,0.99,Rock,Audioslave,Audioslave,4.3877
Get Me Outta Here,C. Cester/N. Cester,176274,5729098.0,0.99,Alternative & Punk,Get Born,JET,2.9379
Surprise! You're Dead!,Faith No More,147226,4823036.0,0.99,Alternative & Punk,The Real Thing,Faith No More,2.4537666666666667
Linha Do Horizonte,Vários,279484,9275929.0,0.99,Latin,Chill: Brazil (Disc 2),Antônio Carlos Jobim,4.658066666666667
Cigano,,304692,10037362.0,0.99,Latin,Djavan Ao Vivo - Vol. 02,Djavan,5.0782
She Wears Black,G Harvey/R Hope-Taylor,528666,17617944.0,0.99,Jazz,Blue Moods,Incognito,8.8111
Losfer Words,Steve Harris,252891,6074756.0,0.99,Metal,Powerslave,Iron Maiden,4.21485
Blood Brothers,Steve Harris,434442,17379456.0,0.99,Rock,Brave New World,Iron Maiden,7.2407
"War of the Gods, Pt. 2",,2923381,487899692.0,1.99,Sci Fi & Fantasy,"Battlestar Galactica (Classic), Season 1",Battlestar Galactica (Classic),48.723016666666666
Let There Be Rock,AC/DC,366654,12021261.0,0.99,Rock,Let There Be Rock,AC/DC,6.1109
The Negotiation,,1767851,371663719.0,1.99,Comedy,"The Office, Season 3",The Office,29.464183333333335
Vida Boa,Fausto Nilo - Armandinho,281730,9411272.0,0.99,Latin,Prenda Minha,Caetano Veloso,4.6955
Fast And Loose,Clarke/Kilmister/Taylor,203337,6643350.0,0.99,Metal,Ace Of Spades,Motörhead,3.38895
They're Red Hot,Robert Johnson,71941,2382220.0,0.99,Alternative & Punk,Blood Sugar Sex Magik,Red Hot Chili Peppers,1.1990166666666666
Dr. Heckyll & Mr. Jive,,278465,9110403.0,0.99,Rock,The Best Of Men At Work,Men At Work,4.6410833333333334
Territorial Pissings,Kurt Cobain,143281,4613880.0,0.99,Rock,Nevermind,Nirvana,2.3880166666666667
The Pan Piper,Miles Davis,233769,7593713.0,0.99,Jazz,The Essential Miles Davis [Disc 1],Miles Davis,3.89615
Ali,Nando Reis/Samuel Rosa,306390,10110351.0,0.99,Rock,Maquinarama,Skank,5.1065
Sangue De Bairro,Chico Science,132231,4415557.0,0.99,Latin,Afrociberdelia,Chico Science & Nação Zumbi,2.20385
Beijo do Olhar,Mônica Marianno,252682,8369029.0,0.99,World,Demorou...,Mônica Marianno,4.211366666666667
Pretinha,,265273,8914579.0,0.99,Jazz,Quanta Gente Veio ver--Bônus De Carnaval,Gilberto Gil,4.421216666666667
Fortuneteller,"Blackmore, Glover, Turner, Lord, Paice",349335,11369671.0,0.99,Rock,Slaves And Masters,Deep Purple,5.82225
Surrender,,287634,9422926.0,0.99,Jazz,Heart of the Night,Spyro Gyra,4.7939
Killers,Paul Di'Anno/Steve Harris,309995,10009697.0,0.99,Rock,The Beast Live,Paul D'Ianno,5.1665833333333335
Be Quick Or Be Dead,Bruce Dickinson/Janick Gers,196911,3151872.0,0.99,Metal,A Real Live One,Iron Maiden,3.28185
Pau-De-Arara,"Guio De Morais E Seus ""Parentes""/Luiz Gonzaga",191660,6340649.0,0.99,Soundtrack,As Canções de Eu Tu Eles,Gilberto Gil,3.1943333333333332
On Mercury,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",208509,6834762.0,0.99,Rock,By The Way,Red Hot Chili Peppers,3.47515
On A Plain,Kurt Cobain,196440,6390635.0,0.99,Rock,Nevermind,Nirvana,3.274
"Lost (Pilot, Part 2)",,2436583,204995876.0,1.99,TV Shows,"Lost, Season 1",Lost,40.609716666666664
O Bicho Tá Pregando,,171964,5683369.0,0.99,Hip Hop/Rap,Os Cães Ladram Mas A Caravana Não Pára,Planet Hemp,2.8660666666666668
Lookin' For A Reason,J.C. Fogerty,209789,6933135.0,0.99,Rock,"Chronicle, Vol. 2",Creedence Clearwater Revival,3.4964833333333334
Be Yourself,"Cornell, Commerford, Morello, Wilk",279484,9106160.0,0.99,Alternative & Punk,Out Of Exile,Audioslave,4.658066666666667
Não Sei O Que Eu Quero Da Vida,,151849,5024963.0,0.99,Latin,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,2.5308166666666665
